[Sat Aug 06 15:34:56.727941 2022] [authz_core:error] [pid 12412:tid 1480] [client 127.0.0.1:2569] AH01630: client denied by server configuration: D:/Projects/python/django/ewedding/ewedding/static/card/styles.css, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:34:56.736942 2022] [authz_core:error] [pid 12412:tid 1484] [client 127.0.0.1:2570] AH01630: client denied by server configuration: D:/Projects/python/django/ewedding/ewedding/static/card/main.js, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:34:56.954941 2022] [wsgi:error] [pid 12412:tid 1476] [client 127.0.0.1:2572] Not Found: /media/wedding_couple2.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:34:56.956943 2022] [wsgi:error] [pid 12412:tid 1484] [client 127.0.0.1:2570] Not Found: /media/wedding_location.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:34:57.101961 2022] [wsgi:error] [pid 12412:tid 1484] [client 127.0.0.1:2570] Not Found: /media/wedding_couple.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:34:57.111943 2022] [wsgi:error] [pid 12412:tid 1476] [client 127.0.0.1:2572] Not Found: /media/flowers.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:34:57.174941 2022] [wsgi:error] [pid 12412:tid 1484] [client 127.0.0.1:2570] Not Found: /favicon.ico\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:35:53.671942 2022] [authz_core:error] [pid 12412:tid 1484] [client 127.0.0.1:2584] AH01630: client denied by server configuration: D:/Projects/python/django/ewedding/ewedding/static/card/styles.css, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:35:53.674944 2022] [authz_core:error] [pid 12412:tid 1500] [client 127.0.0.1:2585] AH01630: client denied by server configuration: D:/Projects/python/django/ewedding/ewedding/static/card/main.js, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:35:53.699940 2022] [wsgi:error] [pid 12412:tid 1480] [client 127.0.0.1:2587] Not Found: /media/wedding_couple2.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:35:53.704942 2022] [wsgi:error] [pid 12412:tid 1476] [client 127.0.0.1:2586] Not Found: /media/wedding_location.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:35:54.028943 2022] [wsgi:error] [pid 12412:tid 1476] [client 127.0.0.1:2586] Not Found: /media/wedding_couple.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:35:54.031943 2022] [wsgi:error] [pid 12412:tid 1480] [client 127.0.0.1:2587] Not Found: /media/flowers.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:35:54.085952 2022] [wsgi:error] [pid 12412:tid 1476] [client 127.0.0.1:2586] Not Found: /favicon.ico\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:36:24.254941 2022] [authz_core:error] [pid 12412:tid 1476] [client 127.0.0.1:2594] AH01630: client denied by server configuration: D:/Projects/python/django/ewedding/ewedding/static/card/styles.css, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:36:24.270944 2022] [authz_core:error] [pid 12412:tid 1500] [client 127.0.0.1:2596] AH01630: client denied by server configuration: D:/Projects/python/django/ewedding/ewedding/static/card/main.js, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:36:24.273942 2022] [wsgi:error] [pid 12412:tid 1476] [client 127.0.0.1:2594] Not Found: /media/wedding_couple2.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:36:24.287940 2022] [wsgi:error] [pid 12412:tid 1480] [client 127.0.0.1:2595] Not Found: /media/wedding_location.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:36:25.179944 2022] [wsgi:error] [pid 12412:tid 1480] [client 127.0.0.1:2595] Not Found: /media/wedding_couple.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:36:25.187941 2022] [wsgi:error] [pid 12412:tid 1500] [client 127.0.0.1:2596] Not Found: /media/flowers.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:36:25.190945 2022] [wsgi:error] [pid 12412:tid 1476] [client 127.0.0.1:2594] Not Found: /favicon.ico\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:46:03.020941 2022] [authz_core:error] [pid 12412:tid 1476] [client 127.0.0.1:2679] AH01630: client denied by server configuration: D:/Projects/python/django/ewedding/ewedding/static/card/styles.css, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:46:03.029942 2022] [authz_core:error] [pid 12412:tid 1500] [client 127.0.0.1:2680] AH01630: client denied by server configuration: D:/Projects/python/django/ewedding/ewedding/static/card/main.js, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:46:04.011942 2022] [wsgi:error] [pid 12412:tid 1480] [client 127.0.0.1:2681] Not Found: /media/wedding_couple.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:46:04.027943 2022] [wsgi:error] [pid 12412:tid 1500] [client 127.0.0.1:2680] Not Found: /media/flowers.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:46:04.034940 2022] [wsgi:error] [pid 12412:tid 1484] [client 127.0.0.1:2682] Not Found: /favicon.ico\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:46:04.036941 2022] [wsgi:error] [pid 12412:tid 1476] [client 127.0.0.1:2679] Not Found: /media/wedding_couple2.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:46:04.046942 2022] [wsgi:error] [pid 12412:tid 1472] [client 127.0.0.1:2686] Not Found: /media/wedding_location.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:46:42.344942 2022] [authz_core:error] [pid 12412:tid 1472] [client 127.0.0.1:2699] AH01630: client denied by server configuration: D:/Projects/python/django/ewedding/ewedding/static/card/styles.css, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:46:42.352941 2022] [authz_core:error] [pid 12412:tid 1472] [client 127.0.0.1:2699] AH01630: client denied by server configuration: D:/Projects/python/django/ewedding/ewedding/static/card/main.js, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:46:42.381943 2022] [wsgi:error] [pid 12412:tid 1484] [client 127.0.0.1:2701] Not Found: /media/wedding_location.jpg\r, referer: http://127.0.0.3:9999/
